ID,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Category,Date Submitted,View Status,Updated,Status,Resolution
39363,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-14,public,2022-02-16,deployed_in_uat,open
39362,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-14,public,2022-02-15,deployed_in_uat,open
39358,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-14,public,2022-02-15,deployed_in_uat,open
39357,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-14,public,2022-02-15,deployed_in_uat,open
39356,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-14,public,2022-02-15,deployed_in_uat,open
39354,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-14,public,2022-02-15,deployed_in_uat,open
39353,KRISHIVED PFM,pragatia,,normal,minor,always,Bug,2022-02-14,public,2022-02-15,deployed_in_uat,open
39103,KRISHIVED posttrade,yasht,,normal,minor,always,Bug,2022-02-07,public,2022-02-07,deployed_in_uat,open
39048,KRISHIVED posttrade,yasht,,normal,minor,always,Bug,2022-02-04,public,2022-02-04,deployed_in_uat,open
39047,KRISHIVED posttrade,yasht,,normal,minor,always,Bug,2022-02-04,public,2022-02-04,deployed_in_uat,open
36470,KRISHIVED PFM,asham,ashwinir,normal,minor,always,Bug,2021-11-11,public,2021-11-11,deployed_in_uat,open
36469,KRISHIVED PFM,asham,ashwinir,normal,major,always,Bug,2021-11-11,public,2021-11-11,deployed_in_uat,open
36468,KRISHIVED PFM,asham,ashwinir,normal,minor,always,Bug,2021-11-11,public,2021-11-11,deployed_in_uat,open
35901,KRISHIVED PFM,asham,ashwinir,normal,minor,always,Bug,2021-10-23,public,2021-10-25,deployed_in_uat,open
