Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version,,
42776,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-24,,,,public,2022-05-24,3 Step : Getting error popup as failure when seller tries to allocate. offer no : 1124052204333627,new,open,,,
42704,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-23,,,,public,2022-05-23,Direct Match : Buyer has zero margin still bid placed successfully and showing in open status. bid number : 02230522258646041013,new,open,,,
42626,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-05-20,,,,public,2022-05-20,3 step : if seller is not having sufficient margin then offer goes in open pending but rejected with a reason showing NULL,new,open,,,
42625,KRISHIVED PFM,shivdasc,,normal,minor,have not tried,,Bug,2022-05-20,,,,public,2022-05-20,"Load bilateral data : showing error while load market, TAC, Contract as Exception in loadBilateralData I/O error on POST request",new,open,,,
42028,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-04-27,,,,public,2022-04-27,During seller confirmation showing Exposure calculation failed,new,open,,,
41862,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-04-21,,,,public,2022-04-21,seller created offer for 12 qty and buyer place bid for 8.69 qty. when seller reject the allocation then buyers order exposure n,new,open,,,
41608,KRISHIVED-PRIVATE MARKET,shivdasc,,normal,minor,have not tried,,Bug,2022-04-12,,,,public,2022-04-12,for cashew commodity order qty is 100 kg and price is 10rs/kg but in settlement details screen is showing obligation qty 1000kgs,new,open,,,
39575,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-22,,,,public,2022-04-08,"Trading account approval, Edit trading account - There is no validation for mandatory fields in bank details tab.",deployed_in_uat,open,,,
40614,KRISHIVED android,shivdasc,,normal,minor,have not tried,,Bug,2022-03-22,,,,public,2022-03-23,Place Enquiry : if we disconnect the net after preview and click on submit then retry and cancel option popup comes and if we c,closed,open,,,
40596,KRISHIVED android,shivdasc,,normal,minor,have not tried,,Observation,2022-03-22,,,,public,2022-03-23,Generate Offer : After filling all fields if we disconnected net before video upload page gets redirect to market watch page,closed,open,,,
