ID,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
56,Feature,Closed,Normal,View Circular screen,Pratidnya Thakare,14/05/2022 19:57,100
55,Feature,Closed,Normal,Dropdown in Admin Panel,Shreya Talwekar,11/05/22 04:08 PM,100
54,Deployed UAT,Closed,Normal,Build Release Admin Ver No. 1.0.0.02,Shreya Talwekar,17/06/2022 15:51,100
53,Deployed UAT,Closed,Normal,Build Released website Ver No. 1.0.0.02,Shreya Talwekar,17/06/2022 15:50,100
52,Deployed UAT,Closed,Normal,Build Release Admin Ver No. 1.0.0.01,Shreya Talwekar,17/06/2022 15:50,100
51,Deployed UAT,Closed,Normal,Build Release website Ver No 1.0.0.01,Shreya Talwekar,17/06/2022 15:49,100
48,Bug,Closed,Normal,No Access control,Yasharth Kumar Singh,10/05/22 05:03 PM,100
47,Feature,Resolved,Normal,NAFED Prices,Ajinkya  Ambre,17/05/2022 19:45,100
46,Feature,Resolved,Normal,Job Listing Api,Ajinkya  Ambre,06/05/22 07:26 PM,100
45,Feature,Resolved,Normal,Commodities screen Api,Ajinkya  Ambre,17/05/2022 16:21,100
44,Feature,Closed,Normal,Commodity Dashboard api,Yasharth Kumar Singh,17/05/2022 19:49,100
43,Feature,Closed,Normal,Event details api,Pratidnya Thakare,14/05/2022 19:58,100
42,Feature,Closed,Normal,Circular Api,Shreya Talwekar,07/05/22 12:09 PM,100
41,Feature,Closed,Normal,NeML backend project setup,Pawan Ukey,14/05/2022 21:12,100
40,Feature,In Progress,Normal,View blog,Ajinkya  Ambre,25/04/2022 18:26,60
39,Feature,In Progress,Normal,Case Studies Details,Ajinkya  Ambre,07/06/22 12:04 PM,60
38,Feature,Resolved,Normal,Terms and Conditions,Ajinkya  Ambre,17/05/2022 16:21,100
37,Feature,Resolved,Normal,Maas,Ajinkya  Ambre,19/05/2022 14:29,20
36,Feature,Resolved,Normal,Saas,Ajinkya  Ambre,19/05/2022 14:30,20
35,Feature,Closed,Normal,HR Admin Form,Shreya Talwekar,10/05/22 05:03 PM,100
34,Feature,Closed,Normal,Event Admin Form,Pratidnya Thakare,14/05/2022 21:08,100
33,Feature,Closed,Normal,Admin Panel,Pratidnya Thakare,14/05/2022 21:13,100
32,Feature,Closed,Normal,Project Set-up,Shreya Talwekar,07/05/22 12:08 PM,100
31,Feature,Resolved,Normal,Connect With Us,Ajinkya  Ambre,17/05/2022 19:35,100
30,Feature,Resolved,Normal,Footer,Ajinkya  Ambre,17/05/2022 16:21,100
29,Feature,New,Normal,Blog,Ajinkya  Ambre,25/04/2022 18:26,60
28,Feature,Resolved,Normal,Download,Ajinkya  Ambre,17/05/2022 19:35,100
27,Feature,Resolved,Normal,Investor Corner,Yasharth Kumar Singh,26/05/2022 12:29,100
26,Feature,In Progress,Normal,Case Studies,Ajinkya  Ambre,05/05/22 04:48 PM,60
25,Feature,In Progress,Normal,Resources,,26/05/2022 12:29,84
24,Feature,Closed,Normal,Contact Us,Pratidnya Thakare,14/05/2022 19:58,100
23,Feature,Resolved,Normal,Careers,Ajinkya  Ambre,17/05/2022 19:35,100
22,Feature,Closed,Normal,Events Details,Pratidnya Thakare,14/05/2022 21:10,100
21,Feature,Resolved,Normal,Circulars,Ajinkya  Ambre,14/05/2022 20:21,100
20,Feature,Resolved,Normal,Commodity Dashboard,Ajinkya  Ambre,17/05/2022 19:34,100
19,Feature,In Progress,Normal,Markets,Ajinkya  Ambre,19/05/2022 14:31,60
18,Feature,In Progress,Normal,Services,Ajinkya  Ambre,05/05/22 05:27 PM,20
17,Feature,Resolved,Normal,About Us,Ajinkya  Ambre,17/05/2022 13:12,100
16,Feature,New,Normal,Home Page,Shreya Talwekar,15/06/2022 12:09,0
